#Videos: id, id_parent (main video id), id_artist (from Artist table), name, video type (main/alternate/duplicate/dance), youtube link ID, views, likes, publishedon, lastupdate, dead (y means it was removed from youtube)
2166,0,257,"Cherry Blossom Ending","main","tXV7dfvSefo",20328471,87116,"2012-04-01","2018-11-13 15:33:27","n"
2167,0,257,"If you really love me","main","6SKunZTZzXc",5842476,15479,"2012-06-20","2018-11-13 15:34:02","n"
2168,0,257,"Love, at first","main","KEk98JAPt80",5150809,20301,"2013-09-24","2018-11-13 15:35:58","n"
2169,0,258,"Meet him among them","main","IAyMtl9FRHI",9682541,46005,"2014-03-25","2018-11-15 10:17:56","n"
2170,0,258,"WindFlower","main","rX1f3rx-4cQ",8116813,49401,"2016-12-14","2018-11-15 11:00:01","n"
2171,0,258,"Let&#39;s go to Happy Land","main","IhXG5TPVzdw",378006,1831,"2015-08-10","2018-11-13 15:07:10","n"
2172,0,259,"The best present","main","_s5JQkJ6t6I",9463319,124069,"2017-01-14","2018-11-13 15:36:01","n"
2173,0,259,"La song","main","ki00FJhmP9s",14721528,123181,"2014-01-01","2018-11-13 15:37:11","n"
2174,0,259,"30Sexy","main","DIDYpFGDBDI",9772859,94869,"2014-01-01","2018-11-13 15:38:02","n"
2175,0,259,"I Love you","main","wz295cTdT8w",766275,10403,"2014-02-06","2018-11-13 15:39:25","n"
2176,0,260,"Kontrol","main","2fBODWRrnWM",4544526,104100,"2015-05-10","2018-11-14 22:06:02","n"
2177,0,260,"You must be you","main","R1DiozFguJg",3057454,76624,"2015-05-10","2018-11-14 22:45:16","n"
2178,0,260,"60Sec","main","JgoHQJQ1ORY",7264333,93103,"2012-11-18","2018-11-14 21:58:01","n"
2179,0,260,"I Need you","main","pbzwecIT2nw",1398949,39617,"2012-12-17","2018-11-14 22:46:02","n"
2180,0,261,"Flower","main","TK9gEpUVFyo",4788315,89986,"2015-03-02","2018-11-14 22:04:01","n"
2181,0,261,"Rock the world","main","zeDk5axTcpo",1054823,28877,"2016-05-29","2018-11-14 22:47:48","n"
2182,0,261,"Tarantallegra","main","UslqIyPZsic",9703487,104484,"2012-05-13","2018-11-15 18:42:02","n"
2183,0,261,"Incredible","main","h0qN-o0nxWs",1321817,25547,"2013-07-14","2018-11-14 22:48:02","n"
2184,0,261,"Yesterday","main","EuMznQb1vyY",1410155,29379,"2015-10-18","2018-11-14 22:49:01","n"
2185,0,261,"OeO","main","yWRQOSj6kbg",1322204,25462,"2015-10-20","2018-11-14 23:22:02","n"
2186,0,261,"How can I love you","main","kTCmv8_AnhM",14835302,50572,"2016-04-13","2018-11-14 06:40:02","n"
2187,0,262,"Bluff","main","lpM26RvU7Ow",1386859,8666,"2015-12-09","2018-11-13 15:08:01","n"
2188,0,262,"Okay","main","gM8xphEIquo",1494647,8872,"2013-11-25","2018-11-13 15:10:02","n"
2189,0,262,"Wasted","main","G33WiEktUo8",1970504,10760,"2014-10-06","2018-11-13 15:10:07","n"
2190,0,262,"Get it?","main","aeo_nWsu5cs",1237212,27495,"2016-06-12","2018-11-13 15:11:05","n"
2191,0,262,"Umbrella","main","kTVvtlfU-Ts",5442174,29352,"2014-07-01","2018-11-13 15:12:01","n"
2192,0,262,"The Real Reason Why we Broke Up","main","qwHnHYPdSQI",4315343,16409,"2013-05-01","2018-11-13 17:22:01","n"
2193,0,263,"Love","main","K5ve5lzs0wM",7446374,225472,"2017-07-16","2018-11-13 15:40:02","n"
2194,0,61,"Ko Ko Bop","main","IdssuxDdqKk",185912331,2835986,"2017-07-18","2018-11-15 04:41:05","n"
2195,0,61,"Ko Ko Bop (Chinese version)","main","60hlfqSe4ZM",6446485,387977,"2017-07-18","2018-11-13 15:40:08","n"
2196,0,113,"Hola Hola","main","USx4WyrkfU4",31227261,865082,"2017-07-19","2018-11-13 17:24:01","n"
2197,2196,113,"Hola Hola","duplicate","UCHJNCZgGCQ",4810741,162374,"2017-07-19","2018-11-13 17:26:02","n"
2198,0,262,"Take Five","main","16sXoYFWL4c",518685,8008,"2017-07-18","2018-11-13 17:22:07","n"
2199,2107,171,"Don&#39;t Wanna Cry","duplicate","97cx53Tpp6g",7451675,228378,"2017-05-22","2018-11-13 15:41:04","n"
2200,1911,171,"BoomBoom","duplicate","IzplmS-VeBc",13461495,277302,"2016-12-04","2018-11-13 15:42:02","n"
2201,0,171,"Very Nice","main","J-wFp43XOrA",52249031,638483,"2016-07-03","2018-11-15 08:32:02","n"
2202,1908,104,"Wonderland","dance","uhZ3l6sKwLI",2464091,68129,"2016-12-29","2018-11-13 17:23:58","n"
2203,614,77,"Oh! My God","duplicate","O-Ep0N5Eyeg",5812292,32259,"2012-04-17","2018-11-13 16:32:02","n"
2204,0,22,"Skydive","main","16hvzx8vjWI",1468256,86896,"2016-11-06","2018-11-13 15:43:04","n"
2205,0,22,"Skydive","main","7VEZuvy0-cc",3333285,133212,"2016-11-06","2018-11-13 15:44:01","n"
2206,0,138,"Aze Gag","main","6CmY-LTd_qs",2451418,90859,"2017-06-21","2018-11-13 16:34:01","n"
2207,2130,138,"Yes I Am","duplicate","hTMlLDAclTI",2714958,139439,"2017-06-22","2018-11-13 16:37:45","n"
2208,1867,138,"New York","duplicate","jJc5jCwba7o",754459,32368,"2016-09-20","2018-11-13 16:38:01","n"
2209,0,138,"A good day to look forward to","main","ElI5IYmvCBs",561594,18285,"2016-04-03","2018-11-13 16:40:01","n"
2210,1086,138,"Mr Ambiguous","duplicate","QwjWP2Tnsjk",567429,12502,"2014-06-17","2018-11-13 16:46:07","n"
2211,1492,138,"1cm taller than You","duplicate","I02F1lvhguw",780389,26787,"2016-02-11","2018-11-13 16:48:01","n"
2212,1970,138,"Décalcomanie","duplicate","u8ukVmSf2ik",878666,29989,"2016-11-07","2018-11-13 16:54:02","n"
2213,1970,138,"Décalcomanie","alternate","o0I8YjeWfQU",10576202,117413,"2016-11-08","2018-11-13 16:55:31","n"
2214,1532,138,"You&#39;re the best","duplicate","kBskUGqgTTs",799851,29286,"2016-02-25","2018-11-13 16:57:21","n"
2215,1085,138,"Um Oh Ah Yeh","duplicate","EqAJqugRz_4",549308,13458,"2015-06-23","2018-11-13 16:59:57","n"
2216,0,14,"Dinosaur","main","8Oz7DG76ibY",16564847,414125,"2017-07-20","2018-11-13 17:33:01","n"
2217,0,55,"Mr. Potter","main","0KGHiRo2apM",4472422,70992,"2016-09-12","2018-11-13 17:01:04","n"
2218,2077,55,"Will you go out with me?","dance","Je7q5WZ6sa0",1482085,18836,"2017-05-04","2018-11-13 17:01:05","n"
2219,0,80,"Never Ever","main","IZ1t7CwfvEc",127969330,1868426,"2017-03-12","2018-11-15 05:01:04","n"
2220,0,198,"Flame of Love","main","kh-A6z7M0zc",4478536,172296,"2017-06-26","2018-11-14 22:07:04","n"
2221,0,252,"My Star","main","AwAFTVjXCeU",569177,17400,"2017-07-26","2018-11-13 17:02:02","n"
2222,0,56,"Fly High","main","39yeTdIuKJU",4292238,142778,"2017-07-27","2018-11-13 17:04:01","n"
2223,2229,143,"Newton","duplicate","69cQu2tn0KU",238240,21889,"2017-07-27","2018-11-13 15:50:02","n"
2224,0,76,"Love Whisper","main","lnXXfYA91Y8",36673810,326288,"2017-08-01","2018-11-13 10:24:01","n"
2225,2224,76,"Love Whisper","duplicate","wctRcg67E_g",2844811,134347,"2017-08-01","2018-11-13 17:05:42","n"
2226,0,243,"Loop","main","Y07AQn0PSlw",280603,19483,"2017-07-31","2018-11-13 17:07:02","n"
2227,0,125,"Only u","main","NafyjkXjGfs",2123945,27987,"2017-07-25","2018-11-13 17:09:31","n"
2228,2227,125,"Only u","alternate","_f82exBpv2U",167564,5409,"2017-07-30","2018-11-13 17:10:22","n"
2229,0,143,"Newton","main","TFk0M_Jhr_A",5533844,286883,"2017-07-27","2018-11-13 15:52:02","n"
2230,0,9,"Love City","main","DojqyA3Ma2k",1617918,37292,"2017-08-03","2018-11-13 17:12:01","n"
2231,0,124,"Wiped","main","gT3T9Je12MU",444559,14975,"2017-08-01","2018-11-14 23:23:18","n"
2232,0,78,"Holiday","main","YwN-CN9EjTg",40671639,878819,"2017-08-04","2018-11-14 16:35:03","n"
2233,0,217,"Love me Love me","main","ppOWR7ZLl7Q",22463280,435963,"2017-08-04","2018-11-13 15:54:02","n"
2234,0,217,"Island","main","kRj4toENrnA",27989684,569671,"2017-08-04","2018-11-13 15:58:02","n"
2235,2239,78,"All Night","alternate","HzEJPRqLUZE",7147692,332604,"2017-08-04","2018-11-13 17:13:23","n"
2236,0,246,"It&#39;s raining","main","_SkvOluCbtI",757472,31614,"2016-11-14","2018-11-13 16:05:58","n"
2237,0,171,"Healing","main","BZD5m9K8hxk",9874349,259196,"2016-10-16","2018-11-13 16:11:04","n"
2238,0,171,"Love Letter","main","UwZv5jjPaBE",6929101,173942,"2016-06-15","2018-11-13 16:12:07","n"
2239,0,78,"All Night","main","f4w8IbQTJpY",17084870,418418,"2017-08-05","2018-11-13 17:14:07","n"
2240,0,264,"Do You","main","0XAxf8aFtL4",20384379,859464,"2015-03-19","2018-11-13 16:14:02","n"
2241,0,264,"Joke","main","TfenCTabhDY",9022020,446189,"2015-03-26","2018-11-13 16:24:02","n"
2242,0,264,"Awakening","main","JKBM9y3EuDQ",3301539,181862,"2015-03-12","2018-11-13 16:27:55","n"
2243,0,264,"Fantastic","main","NkwdwAaJ_Ho",4607321,230174,"2015-08-03","2018-11-13 16:33:09","n"
2244,2196,113,"Hola Hola","alternate","BcPb1wfSTgg",2020734,91277,"2017-08-09","2018-11-13 17:38:01","n"
2245,0,34,"Star","main","iAVAhkvXXoQ",1107313,96790,"2017-08-09","2018-11-13 16:40:07","n"
2246,0,104,"Summer Storm","main","7zgpdy9Co8k",4841530,193356,"2017-08-09","2018-11-13 17:25:00","n"
2247,0,110,"Last Carnival","main","yfzug40O8_w",636698,20017,"2017-08-08","2018-11-13 17:28:02","n"
2248,0,265,"Energetic","main","EVaV7AwqBWg",88524672,1356475,"2017-08-07","2018-11-15 04:59:41","n"
2249,0,145,"Doong Doong","main","DmPG1xr7_qM",179493,7333,"2017-08-10","2018-11-14 11:05:56","n"
2250,0,265,"Burn it up","main","XwGqz8BhHho",26535043,493246,"2017-08-10","2018-11-14 11:06:01","n"
2251,0,213,"Everything","main","_lHZKPvIMEw",57339,4499,"2017-08-10","2018-11-14 11:09:05","n"
2252,0,177,"Friday Night","main","aUoznes8Fn4",1438590,47890,"2017-08-14","2018-11-14 11:13:39","n"
2253,2224,76,"Love Whisper","alternate","zGvY_JVmR0k",267876,11355,"2017-08-14","2018-11-14 11:16:02","n"
2254,0,165,"The Red Summer Memories","main","GVApDVezVDU",678154,51336,"2017-08-15","2018-11-14 11:18:01","n"
2255,0,199,"Darling","main","k24UEMaLwEk",10535166,341189,"2017-08-16","2018-11-15 18:36:02","n"
2256,0,199,"Wake me up","main","gerhTWvUfJQ",9334533,342904,"2017-08-16","2018-11-15 18:44:02","n"
2257,0,149,"We young","main","h3aP1cxwCyk",11195933,409462,"2017-08-17","2018-11-14 11:19:27","n"
2258,0,40,"Love Yourself","main","Oj-zYDbw1Co",8310586,726459,"2017-08-17","2018-11-14 11:23:22","n"
