#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
165,"Red Velvet","레드벨벳","female","n",0,"2014","","K=Red_Velvet_(band);Y=UCk9GmdlDTBfgGRb7vXeRMoQ;F=RedVelvet;T=rvsmtown;W=redvelvet.smtown.com;I=redvelvet.smtown;V=DCF447;VS=548","a:5:{s:2:"VS";i:1260343;s:1:"T";s:7:"1231759";s:1:"F";d:1000000;s:1:"Y";s:6:"709232";s:1:"I";s:7:"6293421";}",10494755
166,"Ryeowook","김려욱","male","y",189,"","","K=Kim_Ryeowook;W=ryeowook.smtown.com;I=ryeong8706","a:1:{s:1:"I";s:6:"163635";}",166328
167,"San E","산이","male","y",0,"","","K=San_E;I=sanethebigboy;T=san_e","a:2:{s:1:"T";s:6:"307108";s:1:"I";s:6:"481615";}",797294
168,"Secret","시크릿","female","n",0,"2009","2018","K=Secret_(South_Korean_band);F=SECRET2009","a:1:{s:1:"F";d:936000;}",944948
169,"Seohyun","서현","female","y",78,"","","K=Seohyun;I=seojuhyun_s","a:1:{s:1:"I";s:7:"5367359";}",5367359
170,"SEUNGRI","승리","male","y",28,"2006","","K=Seungri;I=seungriseyo;F=officialseungri;U=OfficialSEUNGRI;T=ForvictoRi","a:4:{s:1:"F";d:3000000;s:1:"I";s:7:"8416129";s:1:"T";s:7:"2918766";s:1:"Y";s:6:"310505";}",15336616
171,"Seventeen","세븐틴","male","n",0,"2015","","K=Seventeen_(band);F=seventeennews;I=saythename_17;V=F99B3;VS=90;T=pledis_17","a:4:{s:2:"VS";i:3055674;s:1:"T";s:7:"3657437";s:1:"I";s:7:"4162078";s:1:"F";d:8000000;}",18875189
172,"SHINee","샤이니","male","n",0,"2008","","K=Shinee;F=shinee;I=shinee_jp_official;T=shinee","a:3:{s:1:"T";s:6:"778403";s:1:"F";d:7000000;s:1:"I";s:6:"711700";}",8490103
173,"Shinhwa","신화","male","n",0,"1998","","K=Shinhwa;Y=UCfLAn71HQuv5vVte_85v5AQ;I=shinhwa_official;T=ShinhwaCompany;V=EF51FB;VS=254","a:4:{s:2:"VS";i:189620;s:1:"T";s:6:"244095";s:1:"Y";s:6:"223210";s:1:"I";s:5:"85101";}",743491
174,"Sistar","씨스타","female","n",0,"2010","2017","K=Sistar;I=official_sistar;F=officialsistar;T=sistarsistar;V=FE221;VS=17","a:4:{s:2:"VS";i:1250826;s:1:"T";s:6:"700816";s:1:"F";d:1000000;s:1:"I";s:6:"202251";}",5272578
175,"Sistar19","","female","n",174,"","","","",0
176,"Solar + WheeIn","","female","n",138,"","","","",0
177,"Sonamoo","소나무","female","n",0,"2014","","K=Sonamoo;I=sonamoo_insta;V=F6511B;VS=142;F=officialsonamoo;W=cafe.daum.net/officialsonamoo","a:3:{s:2:"VS";i:88632;s:1:"F";d:47112;s:1:"I";s:5:"68424";}",204168
178,"Soyou","강지현","female","y",174,"2010","","K=Soyou;I=soooo_you;F=OfficialSoyou;T=official_soyou;V=D9D4AB;VS=598","a:4:{s:2:"VS";i:13375;s:1:"T";s:5:"15248";s:1:"F";d:12457;s:1:"I";s:7:"1331435";}",1372515
179,"Soyou + Brother Su","","coed","n",0,"","","","",0
180,"Soyou + JunggiGo","","coed","n",0,"","","","",0
181,"Soyou + Kwon Jeongyeol","","coed","n",0,"","","","",0
182,"Soyou + Baekhyun","","coed","n",0,"","","","",0
183,"SPEED","스피드","male","n",0,"2012","2016","K=Speed_(South_Korean_band)","",0
184,"SPICA","스피카","female","n",0,"2012","2017","K=Spica_(band);T=SPICA;F=officialspica;U=spicaofficial","a:3:{s:1:"T";s:5:"17992";s:1:"F";d:35352;s:1:"Y";s:5:"47289";}",101701
185,"SS501","더블에스오공일","male","n",0,"2005","2010","K=SS501;I=ss501new","a:1:{s:1:"I";s:5:"51010";}",51010
186,"Stellar","스텔라","female","n",0,"2011","2018","K=Stellar_(South_Korean_band);I=official_stellar;V=F1E1A9;VS=213","a:2:{s:2:"VS";i:61472;s:1:"I";s:5:"47384";}",110172
187,"Subin","박수빈","female","y",51,"2011","","K=Park_Subin;T=dal_sooobin;I=dalsooobin;W=www.onlysooobin.com","a:2:{s:1:"T";s:5:"43204";s:1:"I";s:6:"117707";}",160911
188,"Sunny Hill","써니힐","female","n",0,"2007","2017","K=Sunny_Hill;I=sunnyhill_offic","a:1:{s:1:"I";s:4:"1335";}",1335
189,"Super Junior","슈퍼주니어","male","n",0,"2005","","K=Super_Junior;F=superjunior;I=superjunior;W=superjunior.smtown.com;V=D744FD;VS=639;T=SJofficial","a:4:{s:2:"VS";i:457480;s:1:"T";s:6:"334966";s:1:"I";s:7:"1149560";s:1:"F";d:6000000;}",9310557
190,"Super Junior D&E","","male","n",189,"","","","",0
191,"Super Junior-M","","male","n",189,"","","","",0
192,"Suzy + Baekhyun","","coed","n",0,"","","","",0
193,"T-Ara","티아라","female","n",0,"2009","2017","K=T-ara;F=officialtara;V=FB875;VS=59","a:2:{s:2:"VS";i:1021574;s:1:"F";d:1000000;}",4163656
194,"T-ara + Davichi","","female","n",0,"","","","",0
195,"T-ara N4","","female","n",193,"","","","",0
196,"T.O.P.","최승현","male","y",28,"","","K=T.O.P_(rapper);I=choi_seung_hyun_tttop;T=choidot;F=choishdot;W=choiseunghyun.com","a:3:{s:1:"T";s:5:"70994";s:1:"F";d:3348;s:1:"I";s:7:"9042646";}",9116988
197,"Tablo","타블로","male","y",57,"","","K=Tablo;I=blobyblo;T=blobyblo;I=blobyblo","a:3:{s:1:"T";s:7:"2334340";s:1:"F";d:953000;s:1:"I";s:7:"2524750";}",5848079
198,"Taemin","태민","male","y",172,"2014","","K=Lee_Tae-min;I=leetaemin_maknae;T=taeminbiased","a:2:{s:1:"T";s:6:"102190";s:1:"I";s:5:"97110";}",203267
199,"TAEYANG","동영배","male","y",28,"2008","","K=Taeyang;I=__youngbae__;F=TAEYANG;T=realtaeyang","a:3:{s:1:"T";s:7:"2962472";s:1:"F";d:7000000;s:1:"I";s:7:"9502648";}",19465120
200,"Taeyeon","태연","female","y",78,"2010","","K=Kim_Tae-yeon;I=taeyeon_ss;W=taeyeon.smtown.com;Y=UC5z2fxN6rs69cSyXur6X6Mg","a:2:{s:1:"Y";s:6:"196160";s:1:"I";s:8:"12780976";}",12977136
201,"Taeyeon + DEAN","","coed","n",0,"","","","",0
202,"Teen Top","틴탑","male","n",0,"2010","","K=Teen_Top;Y=UCzIrJF-paJrXpvdYpS5LnTw;F=TeenzOnTopOfficial;W=www.teentop.co.kr;I=teentop_2ch;V=FD045;VS=35;T=TEEN_TOP","a:5:{s:2:"VS";i:665947;s:1:"F";d:3000000;s:1:"Y";s:6:"622138";s:1:"I";s:6:"144922";s:1:"T";s:6:"648776";}",5082060
203,"The Ark","디아크","female","n",0,"2015","2016","T=TheArk_official;F=official.TheArk","a:2:{s:1:"T";s:3:"209";s:1:"F";d:161;}",372
204,"Tiffany","황미영","female","y",78,"2016","","K=Tiffany_Hwang;I=Tiffanyyoungofficial;T=tiffanyyoung;Y=UCSskZ5Xy7KIqauRYG_s-rLQ","a:3:{s:1:"T";s:6:"216245";s:1:"Y";s:6:"374943";s:1:"I";s:7:"6811668";}",7402856
205,"Trouble Maker","트러블 메이커","coed","n",0,"2011","2014","K=Trouble_Maker_(duo)","",0
206,"Turbo","터보","male","n",0,"1995","","K=Turbo_(South_Korean_band);I=kjk76;V=F5D12B;VS=150","a:2:{s:2:"VS";i:38553;s:1:"I";s:7:"2600381";}",2645914
207,"TVXQ!","동방신기","male","n",0,"2003","","K=TVXQ;T=tvxq;F=tvxq;W=tvxq.smtown.com;I=tvxq.official","a:3:{s:1:"T";s:6:"204953";s:1:"F";d:7000000;s:1:"I";s:6:"581944";}",7786897
208,"Twice","트와이스","female","n",0,"2015","","K=Twice_(band);Y=UCzgxx_DM2Dcb9Y1spb9mUJA;F=JYPETWICE;I=twicetagram;W=twice.jype.com;V=EDBF;VS=6;T=jypetwice","a:5:{s:2:"VS";i:4161501;s:1:"F";d:3000000;s:1:"Y";s:7:"3246856";s:1:"I";s:7:"6922600";s:1:"T";s:7:"2868692";}",20199649
209,"Two X","투엑스","female","n",0,"2012","","K=Two_X;Y=UCqvceFHDMYDyzwtMQG6NiQA;T=twox_intlfanc","a:2:{s:1:"T";s:3:"190";s:1:"Y";s:4:"6659";}",6849
210,"U-Kiss","유키스","male","n",0,"2008","","K=U-KISS;I=ukiss_jun97;F=ukiss;T=ukisskorea","a:3:{s:1:"F";d:4000000;s:1:"I";s:6:"293128";s:1:"T";s:6:"480533";}",4773661
211,"U-Know","유노윤호","male","y",207,"","","","",0
212,"Uniq","유니크","male","n",0,"","","K=Uniq_(band);I=official_uniq5;T=uniq_5;F=official.UNIQ5;V=F88D5;VS=107","a:4:{s:2:"VS";i:251413;s:1:"T";s:6:"131787";s:1:"F";d:25586;s:1:"I";s:5:"86470";}",496962
213,"UP10TION","업텐션","male","n",0,"2015","","K=UP10TION;T=up10tion;I=u10t_official;F=UP10TION;V=FCF47;VS=36","a:4:{s:2:"VS";i:525901;s:1:"T";s:6:"378644";s:1:"F";d:250000;s:1:"I";s:6:"145847";}",1304346
214,"Urban Zakapa","어반자카파","coed","n",0,"","","K=Urban_Zakapa;F=urbanzakapa.page","a:1:{s:1:"F";d:540000;}",543776
215,"VIXX","빅스","male","n",0,"2012","","K=VIXX;T=RealVIXX;F=RealVIXX;I=vixx_stargram;V=FE41D;VS=15","a:4:{s:2:"VS";i:1546406;s:1:"T";s:7:"1110219";s:1:"F";d:1000000;s:1:"I";s:6:"849530";}",4528648
216,"Wendy + Eric Nam","","coed","n",0,"","","","",0
217,"Winner","위너","male","n",0,"2014","","K=Winner_(band);T=yginnercircle;I=winnercity;F=OfficialYGWINNER;Y=UCayQxFAoFCvGariuQCtHRGQ;V=FDC2D;VS=23","a:5:{s:2:"VS";i:2320816;s:1:"T";s:6:"252756";s:1:"F";d:8000000;s:1:"Y";s:7:"2245844";s:1:"I";s:7:"1267333";}",14086749
218,"WJSN","우주소녀","female","n",0,"2016","","K=Cosmic_Girls;F=officialcosmicgirls;T=WJSN_Cosmic;I=wjsn_cosmic;V=F5F127;VS=148","a:4:{s:2:"VS";i:312362;s:1:"T";s:6:"172163";s:1:"F";d:176000;s:1:"I";s:6:"529102";}",1189627
219,"Wonder Girls","원더걸스","female","n",0,"2007","2017","K=Wonder_Girls;T=wondergirls;F=wondergirlsworld;V=F05F;VS=3","a:3:{s:2:"VS";i:681004;s:1:"T";s:6:"530276";s:1:"F";d:7000000;}",8218035
220,"Yesung","김종운","male","y",189,"","","K=Yesung;I=yesung1106;T=shfly3424;W=yesung.smtown.com","a:2:{s:1:"T";s:7:"5101170";s:1:"I";s:7:"4634819";}",9789430
221,"Yezi","예지","female","y",66,"","","K=Yezi;I=yeziyaziiii;T=fiestar__yezi","a:2:{s:1:"T";s:5:"20998";s:1:"I";s:5:"27384";}",48635
222,"Yoona + 10cm","","coed","n",0,"","","","",0
223,"Yuri + Seohyun","","female","n",78,"","","","",0
224,"ZE:A","제국의 아이들","male","n",0,"2010","","K=ZE:A;T=zea_9","a:1:{s:1:"T";s:6:"158268";}",158841
225,"Zico","지코","male","y",32,"","","K=Zico_(rapper);I=woozico0914;T=zico92","a:2:{s:1:"T";s:7:"1136845";s:1:"I";s:7:"3426069";}",4562914
226,"Zion.T","자이언티","male","y",0,"2011","","K=Zion.T;I=ziont;T=SkinnyRed","a:2:{s:1:"T";s:6:"241654";s:1:"I";s:7:"1599213";}",1840867
227,"Hyolyn + Changmo","","coed","n",0,"2017","","","",0
228,"Minzy","공민지","female","y",4,"2017","","K=Minzy;I=_minzy_mz;F=officialminzy;T=mingkki21;V=F081D5;VS=235;W=themusicworks.co.kr/kongminzy/introduce/","a:4:{s:2:"VS";i:142311;s:1:"T";s:7:"2429503";s:1:"F";d:71296;s:1:"I";s:7:"2539086";}",5199113
229,"Berry Good","베리굿","female","y",0,"2014","","K=Berry_Good;T=berrygood2014;W=cafe.daum.net/BerryGood;F=Berrygoodofficial;V=E982B5;VS=347;I=berrygood_official;Y=UCuis1ZmbYTt5GP6yszCC0EQ","a:5:{s:2:"VS";i:37376;s:1:"T";s:5:"13337";s:1:"F";d:36267;s:1:"Y";s:5:"56121";s:1:"I";s:6:"127703";}",319032
230,"Nell","넬","male","n",0,"2001","","K=Nell_(band);T=nellband;F=NellHome;I=spacebohemians;U=nellhome;V=FB777;VS=60","a:5:{s:2:"VS";i:139207;s:1:"T";s:4:"3157";s:1:"F";d:18428;s:1:"Y";s:5:"29700";s:1:"I";s:4:"9716";}",200208
231,"Heize","헤이즈","female","y",0,"2014","","K=Heize;F=HeizeOfficial;T=heize_official","a:2:{s:1:"T";s:5:"10162";s:1:"F";d:44883;}",55045
232,"CocoSori","코코소리","female","n",0,"2016","","K=CocoSori;F=cocosori22;T=cocosori22;I=cocosori22;Y=UC1uulNFLbUXImZLzlfeWlcw;V=D005E5;VS=755","a:5:{s:1:"T";s:4:"3708";s:1:"F";d:79217;s:2:"VS";i:3688;s:1:"Y";s:5:"36104";s:1:"I";s:4:"9696";}",132413
233,"Mixx","","female","n",0,"2016","2017","","",0
234,"Tahiti","타히티","female","n",0,"2012","2018","K=Tahiti_(band)","",0
235,"NC.A","임소은","female","y",0,"2013","","K=NC.A;I=love_nca;T=lovenca;F=LoveNCA","a:3:{s:1:"T";s:5:"24284";s:1:"F";d:20523;s:1:"I";s:5:"55163";}",100034
236,"Royal Pirates","로열 파이럿츠","male","n",0,"2013","","F=royalpirates;K=Royal_Pirates;T=royalpirates;I=official_royalpirates","a:3:{s:1:"T";s:5:"18856";s:1:"F";d:84822;s:1:"I";s:5:"14482";}",119621
237,"Gummy","박지연","female","y",0,"2003","","K=Gummy_(singer);F=cjes.gummy","a:1:{s:1:"F";d:40023;}",40023
239,"MelodyDay","멜로디데이","female","n",0,"2012","","K=Melody_Day_(band);F=MelodyDay225;T=melodyday225;W=www.melodyday.co.kr;I=meldy.gram;V=F0D1CB;VS=230","a:4:{s:2:"VS";i:40662;s:1:"T";s:4:"6068";s:1:"F";d:267000;s:1:"I";s:5:"11726";}",327962
240,"Song Ji Eun","송지은","female","y",168,"2009","","K=Song_Ji-eun","a:1:{s:1:"I";s:6:"514659";}",514659
241,"15&","피프틴앤드","female","n",0,"2012","","W=15and.jype.com;T=15andOfficial;K=15%26;F=15andOfficial","a:2:{s:1:"T";s:6:"134487";s:1:"F";d:274000;}",410052
242,"Baek Yerin","백예린","female","y",241,"2012","","K=Baek_Ye-rin","",0
243,"RaNia","라니아","female","n",0,"2011","2016","K=Rania_(band);T=drmusic_rania;I=rania_official","a:2:{s:1:"T";s:4:"6989";s:1:"I";s:4:"1184";}",8299
244,"BP Rania","라니아","female","n",243,"2017","","","",0
245,"Romeo","로미오","male","n",0,"2015","","K=Romeo_(band);F=teamct.romeo;T=teamct_romeo;I=ct.romeo;V=EA529B;VS=334","a:4:{s:2:"VS";i:65611;s:1:"T";s:5:"49497";s:1:"F";d:95905;s:1:"I";s:4:"2758";}",214120
246,"Snuper","스누퍼","male","n",0,"2015","","K=Snuper;W=snuper.kr;F=SNUPER6;T=snuper6;I=snuper6;V=F141BD;VS=223","a:4:{s:2:"VS";i:86503;s:1:"T";s:5:"26239";s:1:"F";d:75930;s:1:"I";s:5:"83786";}",272458
247,"Sungyeol","이성열","male","y",96,"2012","","K=Lee_Sung-yeol;I=leeseongyeol_1991;T=seongyeol1991","a:2:{s:1:"T";s:6:"992039";s:1:"I";s:6:"559672";}",1573791
248,"AOA Black","","female","n",16,"2013","","","",0
249,"JeA","","female","y",37,"2006","","K=JeA","",0
250,"Triple H","트리플 H","coed","n",93,"2017","","K=Triple_H_(band);W=cubeent.co.kr/tripleh;I=cube_triple_h","a:1:{s:1:"I";s:6:"314664";}",321607
251,"Sohee","안소희","female","y",219,"2017","","K=Ahn_So-hee;T=wgsohee;I=ssoheean;F=AhnSohee0627","a:3:{s:1:"T";s:6:"625844";s:1:"F";d:10348;s:1:"I";s:6:"320036";}",974984
252,"Elris","엘리스","female","n",0,"2017","","K=Elris;F=elris.official;W=cafe.daum.net/elris.official;T=hunus_elris;V=DED40B;VS=518;I=hunus_elris;Y=UC-MRBhuTep3dzojQd5RvoFA","a:5:{s:2:"VS";i:21125;s:1:"T";s:5:"19231";s:1:"F";d:14888;s:1:"Y";s:5:"33399";s:1:"I";s:5:"29946";}",118589
253,"Hyoyeon","","female","y",78,"2016","","","",0
254,"NC.A + Sugarbowl","","coed","n",235,"2017","","","",0
255,"Jeong Eunji","정은지","female","y",18,"2016","","K=Jung_Eun-ji;T=apinkjej","a:1:{s:1:"T";s:6:"324853";}",330334
256,"Jessi","제시","female","y",0,"2005","","K=Jessi_(musician);F=jessihomusic;T=jessihoempire;V=FC757;VS=44","a:3:{s:2:"VS";i:470400;s:1:"T";s:4:"2085";s:1:"F";d:46549;}",519034
257,"Busker Busker","버스커 버스커","male","n",0,"2011","2013","K=Busker_Busker;T=busker_brad","a:1:{s:1:"T";s:5:"24153";}",24867
258,"Lee Sun Hee","이선희","female","y",0,"1984","","K=Lee_Sun-hee_(singer)","",0
259,"Rain","비","male","n",0,"2002","","K=Rain_(entertainer);I=rain_oppa;T=29rain;F=raincompanyrain;V=F8EC9;VS=101","a:4:{s:2:"VS";i:240855;s:1:"T";s:6:"399754";s:1:"F";d:788000;s:1:"I";s:7:"1064934";}",2499773
260,"Kim Sung Kyu","","male","y",96,"2010","","K=Kim_Sung-kyu;T=kyuzizi","a:1:{s:1:"T";s:6:"761659";}",761659
261,"XIA","김준수","male","y",111,"2010","","K=Kim_Junsu;T=1215thexiahtic;I=xiaxiaxia1215","a:2:{s:1:"T";s:6:"589951";s:1:"I";s:6:"411604";}",1005641
262,"Younha","고윤하","female","y",0,"","","K=Younha;I=younha_holic;T=younhaholic;F=officialyounha;V=FC261;VS=49","a:4:{s:2:"VS";i:217824;s:1:"T";s:6:"275318";s:1:"F";d:65125;s:1:"I";s:6:"121319";}",680097
263,"PSY + Taeyang","","male","n",158,"2017","","","",0
264,"Rap Monster","김남준","male","n",40,"2013","","K=RM_(rapper)","",0
265,"Wanna One","워너원","male","n",0,"2017","","K=Wanna_One;F=WannaOne.official;T=WannaOne_twt;I=wannaone.official;W=wannaonego.mwave.me;V=DCD44B;VS=550","a:4:{s:2:"VS";i:2091162;s:1:"T";s:7:"2899526";s:1:"F";d:931000;s:1:"I";s:7:"3775427";}",9697115
266,"Sechs kies","젝스키스","male","n",0,"1997","","K=Sechs_Kies;Y=UCcADqTjMyMol8B8mWm9n6rA;F=OfficialSECHSKIES;V=EFA1F1;VS=249","a:3:{s:2:"VS";i:149764;s:1:"F";d:72895;s:1:"Y";s:6:"203818";}",426477
267,"Momoland","모모랜드","female","n",0,"2016","","V=EF41FD;VS=255;1530686060461;T=mmld_official;K=Momoland;F=MOMOLANDOfficial;I=momoland_official","a:4:{s:2:"VS";i:299145;s:1:"T";s:6:"203874";s:1:"F";d:770000;s:1:"I";s:7:"1415363";}",2688382
268,"Sunmi","선미","female","y",219,"2013","","K=Sunmi;I=miyayeah;F=officialsunmi;T=miyaohyeah;V=DA6499;VS=589","a:4:{s:1:"T";s:6:"106263";s:1:"F";d:55946;s:1:"I";s:7:"3413262";s:2:"VS";i:136015;}",3711486
269,"VIXX LR","빅스 LR","male","n",215,"2017","","","",0
270,"SF9","에스에프나인","male","n",0,"2016","","K=SF9_(band);Y=UC8HNshpReWjQv1WpwzhPHjA;F=SF9official;T=SF9official;I=SF9official;W=www.fncent.com/SF9;V=ED7237;VS=284","a:5:{s:2:"VS";i:398455;s:1:"T";s:6:"310885";s:1:"F";d:188000;s:1:"Y";s:6:"280095";s:1:"I";s:6:"241792";}",1419227
271,"Weki Meki","위키미키","female","n",94,"2017","","K=Weki_Meki;F=WekiMeki;T=WekiMeki;I=weki_meki;V=E3B36F;VS=440","a:4:{s:2:"VS";i:201867;s:1:"T";s:5:"97349";s:1:"F";d:49404;s:1:"I";s:6:"295807";}",644427
272,"Rainz","레인즈","male","n",0,"2017","","K=Rainz_(band);T=rainz_official;I=rainz.official;V=D844DD;VS=623","a:3:{s:2:"VS";i:38158;s:1:"T";s:5:"43708";s:1:"I";s:5:"87587";}",170264
273,"Solar","김용선","female","y",138,"2015","","K=Solar_(singer)","",0
274,"JBJ","제이비제이","male","n",0,"2017","","K=JBJ_(band);F=JBJofficial787;T=jbjofficial787;V=D864D9;VS=621;I=jbjofficial787","a:4:{s:2:"VS";i:364473;s:1:"T";s:6:"303630";s:1:"I";s:6:"342884";s:1:"F";d:95223;}",1110564
275,"The Rose","더 로즈","male","n",0,"2017","","K=The_Rose_(band);T=band_therose;I=official_therose;F=bandtherose;Y=UClcbcYLmTpDeuK1EFeqh5uA;V=D69513;VS=650","a:5:{s:2:"VS";i:78482;s:1:"T";s:3:"397";s:1:"F";d:38506;s:1:"Y";s:6:"114521";s:1:"I";s:5:"90822";}",322728
276,"Jeon Soyeon","전소연","female","y",292,"2017","","K=Jeon_So-yeon","",0
277,"Samuel","사무엘","male","n",0,"2015","","K=Samuel_(singer);F=braveentsamuel;I=bravpunxh;T=bravepunch0117;V=DD443D;VS=543","a:4:{s:2:"VS";i:375266;s:1:"T";s:5:"60065";s:1:"F";d:356000;s:1:"I";s:7:"1725992";}",2517323
278,"Soyou + Sung Si Kyung","","coed","n",178,"2017","","","",0
279,"Fromis 9","프로미스나인","female","n",0,"2017","","K=Fromis_9;F=officialfromis9;T=officialfromis9;V=D5E529;VS=661","a:3:{s:2:"VS";i:95990;s:1:"T";s:4:"3176";s:1:"F";d:168000;}",267166
280,"Pentagon","펜타곤","male","n",0,"2017","","K=Pentagon_(South_Korean_band);V=F2C18D;VS=199;T=cube_ptg;Y=UCw4NcAAtRsjL-cGlBrUnMTQ;F=pentagon.unitedcube;I=CUBE_PTG","a:5:{s:2:"VS";i:642801;s:1:"T";s:6:"489074";s:1:"F";d:161000;s:1:"Y";s:6:"511185";s:1:"I";s:6:"585875";}",2389935
281,"Suzy","수지","female","y",0,"2016","","K=Bae_Suzy;Y=UC7ukOKu7-6G-m5d4hOXrhfQ;F=JYPESuzy;I=skuukzky;T=jypnation","a:4:{s:1:"T";s:7:"3001276";s:1:"F";d:54438;s:1:"Y";s:6:"101628";s:1:"I";s:7:"8978874";}",12155422
282,"Laysha","레이샤","female","n",0,"2015","","F=onlylaysha;I=layshaofficial","a:2:{s:1:"F";d:13058;s:1:"I";s:5:"12936";}",25994
283,"The Boyz","더보이즈","male","n",0,"2017","","V=DE341F;VS=528;F=officialTHEBOYZ;T=Creker_THEBOYZ;I=official_theboyz;Y=UCkJ1rbOrsyPfBuHNfnLPm-Q;W=The_Boyz_(South_Korean_band)","a:5:{s:2:"VS";i:230507;s:1:"T";s:6:"165032";s:1:"F";d:196000;s:1:"Y";s:6:"183703";s:1:"I";s:6:"430234";}",1223799
284,"Holland","홀랜드","male","y",0,"2018","","K=Holland;T=holland_vvv;F=hollandofficial","a:2:{s:1:"T";s:6:"275379";s:1:"F";d:35445;}",310916
285,"Hong Jin Young","홍진영","female","y",0,"2009","","K=Hong_Jin-young;T=sambahong;F=sambahong;V=F9DAB;VS=86","a:3:{s:2:"VS";i:190054;s:1:"T";s:5:"60636";s:1:"F";d:5056;}",256422
286,"Honey Popcorn","허니팝콘","female","n",0,"2017","","K=Honey_Popcorn;I=honey_popcorn314;Y=UCriAcft648ENclJSwPFUTAg","a:2:{s:1:"Y";s:4:"8111";s:1:"I";s:5:"11084";}",19201
287,"Hwasa","화사","female","y",138,"2016","","","",0
288,"Stray Kids","스트레이 키즈","male","n",0,"2017","","K=Stray_Kids;V=D7A4F1;VS=633;T=stray_kids;F=JYPEStrayKids;I=realstraykids;Y=UC9rMiEjNaCSsebs31MRDCRA;W=straykids.jype.com","a:5:{s:2:"VS";i:788158;s:1:"T";s:6:"690588";s:1:"F";d:266000;s:1:"Y";s:6:"905555";s:1:"I";s:7:"2223543";}",4873844
289,"WheeIn","휘인","female","y",138,"2017","","","",0
290,"MeloMance","멜로망스","male","n",0,"2015","","K=MeloMance;I=melomance_official","a:1:{s:1:"I";s:5:"42486";}",42716
291,"Bolbbalgan4","볼빨간사춘기","female","n",0,"2016","","T=bolbbalgan4;V=F38175;VS=187;K=Bolbbalgan4;F=bolbbalgan4;I=hey_miss_true","a:4:{s:2:"VS";i:23541;s:1:"T";s:5:"19511";s:1:"F";d:246000;s:1:"I";s:6:"236669";}",526120
292,"(G)I-dle","(여자)아이들","female","n",0,"2018","","T=G_I_DLE;F=G.I.DLE.CUBE;V=CE2621;VS=785;K=(G)I-DLE;I=official_g_i_dle;Y=UCritGVo7pLJLUS8wEu32vow","a:5:{s:2:"VS";i:206636;s:1:"T";s:6:"217698";s:1:"F";d:111000;s:1:"I";s:7:"1528119";s:1:"Y";s:6:"583619";}",2647072
293,"VAV","브이에이브이","male","n",0,"2015","","K=VAV_(band);T=VAV_official;I=vav_official;V=E6A311;Y=UCAogbKfNxlAKxzBXFHB8i5g;VS=393","a:4:{s:2:"VS";i:74418;s:1:"T";s:5:"50140";s:1:"Y";s:6:"349421";s:1:"I";s:6:"368453";}",842432
294,"Moon Byul + Seulgi","문별 + 슬기","female","n",138,"2018","","","",0
295,"UNI.T","유니티","female","n",0,"","","K=Uni.T;T=official_uni_t;F=officialpage.uni.t;I=official_uni_t;V=CF0605;VS=771","a:4:{s:2:"VS";i:36028;s:1:"T";s:5:"23350";s:1:"F";d:24345;s:1:"I";s:5:"80145";}",163925
296,"Moon Byul","문별","female","y",138,"2018","","K=Moonbyul","a:1:{s:1:"I";s:6:"146211";}",146211
297,"Pristin V","프리스틴 V","female","n",156,"2018","","","",0
299,"Soyou + Henry","","coed","n",178,"2016","2016","","",0
300,"Soyou + Giriboy + Kihyun","","coed","n",0,"2015","2015","","",0
301,"Hyolyn + Kisum","","female","n",0,"2017","2017","","",0
302,"NU&#39;EST W","뉴이스트 W","male","n",151,"2018","","","",0
303,"Yubin","유빈","female","y",219,"2018","","W=yubin.jype.com;T=Yubinofficial","a:1:{s:1:"T";s:6:"533935";}",544851
304,"Minseo","민서","female","y",0,"2018","","","",0
305,"Gugudan Oguogu","구구단 오구오구","female","n",81,"2017","","","",0
306,"Yuju","유주","female","y",76,"2018","","","",0
307,"Kyungri","경리","female","y",9,"2018","","T=ICE_Gang;I=gyeongree;","a:2:{s:1:"T";s:5:"92148";s:1:"I";s:6:"706536";}",798684
308,"NCT 2018","엔시티 2018","male","n",150,"2018","","","",0
309,"Gugudan Semina","구구단 세미나","female","n",81,"2018","","","",0
310,"Bolbbalgan4 + 20 Years of Age","볼빨간사춘기 + 스무살","coed","n",291,"2017","","","",0
311,"20 years of age","스무살","male","y",0,"2017","","","",0
312,"Chung ha","김찬미","female","y",94,"2016","","K=Kim_Chung-ha;I=chungha_official;W=cafe.daum.net/MNH-Chungha;V=E3437D;VS=447","a:3:{s:2:"VS";i:147379;s:1:"T";s:4:"6287";s:1:"I";s:7:"1162957";}",1310336
313,"KNK","크나큰","male","n",0,"2016","","K=KNK_(band);T=KNK_OfficiaI;I=knk_official_knk;F=knkofficial.ynb;Y=UCY-ES-QqCFC-xhRTyTsB-xw","a:4:{s:1:"T";s:6:"156815";s:1:"F";d:62096;s:1:"Y";s:6:"168596";s:1:"I";s:6:"180197";}",569230
314,"Madtown","매드타운","male","n",0,"2014","2017","T=madtown_gni;I=madtown_gni;F=madtown1006;K=Madtown;V=F6B10F;VS=136","a:4:{s:2:"VS";i:181778;s:1:"T";s:5:"39057";s:1:"F";d:21511;s:1:"I";s:5:"46400";}",291550
