#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
55,"Dia","다이아","female","n",0,"2015","","K=DIA_(band);T=dia_official;V=F3D16B;VS=182;I=mbk.dia","a:3:{s:2:"VS";i:215168;s:1:"T";s:5:"64565";s:1:"I";s:6:"189505";}",470074
56,"Dreamcatcher","드림캐쳐","female","n",0,"2017","","K=Dreamcatcher_(band);W=www.dreamcatcher7.com;V=E8D2CB;VS=358;I=hf_dreamcatcher","a:2:{s:2:"VS";i:118930;s:1:"I";s:6:"156985";}",467455
57,"Epik High","에픽하이","male","n",0,"2003","","K=Epik_High;F=EPIKHIGH;V=F97B7;VS=92;Y=UCTcEu0jaf3DrsTjnGwwvsvA","a:3:{s:2:"VS";i:304301;s:1:"F";d:791000;s:1:"Y";s:6:"526769";}",1622070
58,"Eric Nam","에릭남","male","y",0,"2012","","K=Eric_Nam;W=www.ericnam.com;F=ericnamofficial;T=ericnamofficial;V=FD33F;VS=32","a:3:{s:2:"VS";i:784275;s:1:"T";s:6:"859801";s:1:"F";d:754000;}",2398076
59,"Eric Nam + Somi","","coed","n",0,"2017","2017","","",0
60,"EXID","이엑스아이디","female","n",0,"2012","","K=EXID;F=EXIDOfficial;W=cafe.daum.net/exid;T=exidofficial;V=F9BAF;VS=88;I=exidofficial","a:4:{s:2:"VS";i:1408287;s:1:"T";s:6:"479974";s:1:"I";s:6:"921875";s:1:"F";d:665000;}",3475136
61,"EXO","엑소","male","n",0,"2011","","K=Exo_(band);W=exo.smtown.com;T=weareoneEXO;F=weareoneEXO;V=F94BD;VS=95;I=weareone.exo","a:4:{s:2:"VS";i:6370163;s:1:"T";s:7:"4152742";s:1:"F";d:6000000;s:1:"I";s:7:"4001066";}",20817567
62,"EXO CBX","첸백시","male","n",61,"2016","","","",0
63,"EXO-12","","male","n",61,"2016","","","",0
64,"EXO-M","","male","n",61,"2016","","","",0
65,"F(x)","에프엑스","female","n",0,"2009","","K=F(x)_(band);W=fx.smtown.com;F=fx.smtown;I=fx.official","a:2:{s:1:"I";s:6:"304553";s:1:"F";d:3000000;}",3311302
66,"Fiestar","피에스타","female","n",0,"2012","2018","K=Fiestar","",0
67,"FTISLAND","FT아일랜드","male","n",0,"2007","","K=F.T._Island;F=FTISLAND;V=FE913;VS=10;T=ft_fanclub;I=officialftisland","a:4:{s:2:"VS";i:736589;s:1:"T";s:5:"66247";s:1:"I";s:6:"126206";s:1:"F";d:2000000;}",2939459
68,"G-DRAGON","권지용","male","y",28,"2009","","K=G-Dragon;F=gdragon;T=ibgdrgn;I=xxxibgdrgn","a:3:{s:1:"T";s:7:"9069856";s:1:"F";d:9000000;s:1:"I";s:8:"16128685";}",34204614
69,"G.na","최지나","female","y",0,"2011","2016","K=G.NA;F=gna.unitedcube;T=ginachoi87","a:2:{s:1:"T";s:6:"506165";s:1:"F";d:131000;}",638617
70,"Gain","가인","female","y",37,"2010","","K=Gain_(singer);F=OfficialGain","a:1:{s:1:"F";d:82820;}",83779
71,"Gary","개리","male","y",131,"2014","","","",0
72,"Gary + Jung In","","coed","n",0,"2014","","","",0
73,"GD + TAEYANG","","male","n",28,"2014","","","",0
74,"GD + T.O.P.","","male","n",28,"2010","","","",0
75,"Geeks + Soyou","","coed","n",0,"2012","","","",0
76,"GFriend","여자친구","female","n",0,"2015","","K=GFriend;F=gfrdofficial;W=cafe.daum.net/gfrdofficial;T=gfrdofficial;V=F73FF;VS=128;I=gfriendofficial","a:4:{s:2:"VS";i:1196709;s:1:"T";s:6:"786924";s:1:"F";d:437000;s:1:"I";s:7:"2036848";}",4457481
77,"Girl's Day","걸스데이","female","n",0,"2010","","K=Girl%27s_Day;F=dai5y.gsd;T=girls_day;V=FDF27;VS=20;I=dte_girlsday;U=girlsday5","a:5:{s:2:"VS";i:1332582;s:1:"T";s:6:"249118";s:1:"Y";s:6:"576548";s:1:"I";s:5:"49501";s:1:"F";d:938000;}",3145749
